27,1160401BB,Special Operations Technology Development,02,29246,Applied Research
72,1160402BB,Special Operations Advanced Technology Development,03,46809,Advanced Technology Development
216,0304210BB,Special Applications for Contingencies,07,17352,Operational System Development
230,0305208BB,Distributed Common Ground/Surface Systems,07,5195,Operational System Development
235,0305219BB,MQ-1 Predator A UAV,07,641,Operational System Development
250,1105219BB,MQ-9 UAV,07,1314,Operational System Development
254,1160403BB,Aviation Systems,07,156561,Operational System Development
256,1160405BB,Special Operations Intelligence Systems Development,07,7705,Operational System Development
257,1160408BB,SOF Operational Enhancements,07,42620,Operational System Development
261,1160431BB,Warrior Systems,07,17970,Operational System Development
262,1160432BB,Special Programs,07,7424,Operational System Development
268,1160480BB,SOF Tactical Vehicles,07,2206,Operational System Development
271,1160483BB,Maritime Systems,07,18325,Operational System Development
274,1160489BB,SOF Global Video Surveillance Activities,07,3304,Operational System Development
275,1160490BB,SOF Operational Enhancements Intelligence,07,16021,Operational System Development
